quarter,date,op_margin,ps_zscore_mean,ticker,regime,om_lead1,om_lead2,om_lead4
2019Q1,2019-03-31,7.403685092127303,-0.07716666666666668,AMZN,positive,4.864046432401741,4.511224475214702,5.286804856067433
2019Q2,2019-06-30,4.864046432401741,0.6912333333333334,AMZN,positive,4.511224475214702,4.4363370197971115,6.571666366744647
2019Q3,2019-09-30,4.511224475214702,2.2060999999999997,AMZN,positive,4.4363370197971115,5.286804856067433,6.442352696448072
2019Q4,2019-12-31,4.4363370197971115,2.303933333333333,AMZN,positive,5.286804856067433,6.571666366744647,5.47409501811955
2020Q1,2020-03-31,5.286804856067433,0.9050333333333334,AMZN,positive,6.571666366744647,6.442352696448072,8.169151661475516
2020Q2,2020-06-30,6.571666366744647,1.2568666666666666,AMZN,positive,6.442352696448072,5.47409501811955,6.811107180756987
2020Q3,2020-09-30,6.442352696448072,2.2053,AMZN,positive,5.47409501811955,8.169151661475516,4.3785871566256365
2020Q4,2020-12-31,5.47409501811955,-0.010733333333333336,AMZN,positive,8.169151661475516,6.811107180756987,3.1508708048504004
2021Q1,2021-03-31,8.169151661475516,-0.18730000000000002,AMZN,positive,6.811107180756987,4.3785871566256365,2.7360311463780786
2021Q2,2021-06-30,6.811107180756987,-0.33093333333333336,AMZN,positive,4.3785871566256365,3.1508708048504004,1.986609074672898
2021Q3,2021-09-30,4.3785871566256365,-0.37976666666666664,AMZN,positive,3.1508708048504004,2.7360311463780786,3.7484885126964933
2022Q1,2022-03-31,3.1508708048504004,-0.9531666666666667,AMZN,positive,2.7360311463780786,1.986609074672898,5.715752736581264
2022Q2,2022-06-30,2.7360311463780786,-0.5612333333333334,AMZN,positive,1.986609074672898,3.7484885126964933,7.819237785061817
2022Q3,2022-09-30,1.986609074672898,-0.5866333333333333,AMZN,positive,3.7484885126964933,5.715752736581264,10.680817511321374
2023Q1,2023-03-31,3.7484885126964933,-0.7921,AMZN,positive,5.715752736581264,7.819237785061817,9.915054366556966
2023Q2,2023-06-30,5.715752736581264,-0.6227333333333332,AMZN,positive,7.819237785061817,10.680817511321374,10.95879202150091
2023Q3,2023-09-30,7.819237785061817,0.08156666666666666,AMZN,positive,10.680817511321374,9.915054366556966,11.823315153500742
2024Q1,2024-03-31,10.680817511321374,-0.6566333333333333,AMZN,positive,9.915054366556966,10.95879202150091,11.431586981669867
2024Q2,2024-06-30,9.915054366556966,-0.5102666666666668,AMZN,positive,10.95879202150091,11.823315153500742,9.669810011711228
2024Q3,2024-09-30,10.95879202150091,-0.37346666666666667,AMZN,positive,11.823315153500742,11.431586981669867,13.140222235688825
2025Q1,2025-03-31,11.823315153500742,-0.8883333333333333,AMZN,positive,11.431586981669867,9.669810011711228,
2025Q2,2025-06-30,11.431586981669867,-0.4519,AMZN,positive,9.669810011711228,13.140222235688825,
2025Q3,2025-09-30,9.669810011711228,-0.7432333333333334,AMZN,positive,13.140222235688825,,
2026Q1,2026-03-31,13.140222235688825,-0.21853333333333333,AMZN,positive,,,
2019Q1,2019-01-31,3.8023868998057173,2.0192666666666668,CRM,positive,5.6194808670056196,1.451088316237178,-0.7421150278293136
2019Q2,2019-04-30,5.6194808670056196,1.6173000000000002,CRM,positive,1.451088316237178,1.4402836250830933,-2.877697841726619
2019Q3,2019-07-31,1.451088316237178,-0.29113333333333336,CRM,positive,1.4402836250830933,-0.7421150278293136,3.4556396816152204
2019Q4,2019-10-31,1.4402836250830933,1.4968000000000001,CRM,positive,-0.7421150278293136,-2.877697841726619,4.133603985975272
2020Q1,2020-01-31,-0.7421150278293136,1.7935999999999999,CRM,positive,-2.877697841726619,3.4556396816152204,5.936609089384539
2020Q2,2020-04-30,-2.877697841726619,0.9239333333333334,CRM,positive,3.4556396816152204,4.133603985975272,5.236593059936909
2020Q3,2020-07-31,3.4556396816152204,0.21453333333333333,CRM,positive,4.133603985975272,5.936609089384539,0.5536937199475448
2020Q4,2020-10-31,4.133603985975272,-0.7840333333333334,CRM,positive,5.936609089384539,5.236593059936909,0.2698691134799622
2021Q2,2021-04-30,5.936609089384539,-0.9535666666666667,CRM,positive,5.236593059936909,0.5536937199475448,2.5
2021Q3,2021-07-31,5.236593059936909,-0.8524333333333333,CRM,positive,0.5536937199475448,0.2698691134799622,5.869592956488452
2021Q4,2021-10-31,0.5536937199475448,-0.44189999999999996,CRM,positive,0.2698691134799622,2.5,4.995756032496666
2022Q2,2022-04-30,0.2698691134799622,-0.2904333333333333,CRM,positive,2.5,5.869592956488452,17.156805765430665
2022Q3,2022-07-31,2.5,0.3541666666666667,CRM,positive,5.869592956488452,4.995756032496666,17.213302752293576
2022Q4,2022-10-31,5.869592956488452,0.41253333333333336,CRM,positive,4.995756032496666,17.156805765430665,18.71236176502792
2023Q2,2023-04-30,4.995756032496666,-0.7355999999999999,CRM,positive,17.156805765430665,17.213302752293576,19.12064343163539
2023Q3,2023-07-31,17.156805765430665,-0.8892333333333333,CRM,positive,17.213302752293576,18.71236176502792,20.044472681067344
2023Q4,2023-10-31,17.213302752293576,-0.6470333333333333,CRM,positive,18.71236176502792,19.12064343163539,19.757859395665886
2024Q2,2024-04-30,18.71236176502792,-0.5344,CRM,positive,19.12064343163539,20.044472681067344,22.78233685033216
2024Q3,2024-07-31,19.12064343163539,0.2650666666666667,CRM,positive,20.044472681067344,19.757859395665886,21.32761477726874
2024Q4,2024-10-31,20.044472681067344,1.6668666666666667,CRM,positive,19.757859395665886,22.78233685033216,
2025Q2,2025-04-30,19.757859395665886,-0.5545,CRM,positive,22.78233685033216,21.32761477726874,
2025Q3,2025-07-31,22.78233685033216,-0.4565666666666666,CRM,positive,21.32761477726874,,
2025Q4,2025-10-31,21.32761477726874,-0.6495333333333334,CRM,positive,,,
2019Q1,2019-03-31,-13.802857142857142,-0.9207666666666666,DDOG,negative,-4.812048192771084,-4.39375,0.46714285714285714
2019Q2,2019-06-30,-4.812048192771084,-0.7789999999999999,DDOG,negative,-4.39375,2.883969465648855,-5.978709677419355
2019Q3,2019-09-30,-4.39375,-0.8411333333333334,DDOG,negative,2.883969465648855,0.46714285714285714,-6.447236180904523
2020Q1,2020-03-31,2.883969465648855,-0.807,DDOG,negative,0.46714285714285714,-5.978709677419355,-4.224786324786325
2020Q2,2020-06-30,0.46714285714285714,-0.26586666666666664,DDOG,negative,-5.978709677419355,-6.447236180904523,-1.812962962962963
2020Q3,2020-09-30,-5.978709677419355,-0.6434333333333333,DDOG,negative,-6.447236180904523,-4.224786324786325,2.868870523415978
2021Q1,2021-03-31,-6.447236180904523,-0.9051666666666667,DDOG,negative,-4.224786324786325,-1.812962962962963,-0.7731527093596059
2021Q2,2021-06-30,-4.224786324786325,-0.9087333333333333,DDOG,negative,-1.812962962962963,2.868870523415978,-7.1720823798627
2021Q3,2021-09-30,-1.812962962962963,-0.8416,DDOG,negative,2.868870523415978,-0.7731527093596059,-7.2551867219917
2022Q1,2022-03-31,2.868870523415978,-0.5588666666666667,DDOG,negative,-0.7731527093596059,-7.1720823798627,-4.3233791748526516
2022Q2,2022-06-30,-0.7731527093596059,-0.6352666666666666,DDOG,negative,-7.1720823798627,-7.2551867219917,-0.7718978102189782
2022Q3,2022-09-30,-7.1720823798627,-0.666,DDOG,negative,-7.2551867219917,-4.3233791748526516,1.9633387888707037
2023Q1,2023-03-31,-7.2551867219917,-0.4243666666666666,DDOG,negative,-4.3233791748526516,-0.7718978102189782,1.956279069767442
2023Q2,2023-06-30,-4.3233791748526516,-0.5245000000000001,DDOG,negative,-0.7718978102189782,1.9633387888707037,2.938840579710145
2023Q3,2023-09-30,-0.7718978102189782,-0.03940000000000001,DDOG,negative,1.9633387888707037,1.956279069767442,-1.6299212598425195
2024Q1,2024-03-31,1.9633387888707037,0.3192,DDOG,negative,1.956279069767442,2.938840579710145,-4.292623941958888
2024Q2,2024-06-30,1.956279069767442,1.3207333333333333,DDOG,negative,2.938840579710145,-1.6299212598425195,-0.6556433408577879
2024Q3,2024-09-30,2.938840579710145,0.9308333333333333,DDOG,negative,-1.6299212598425195,-4.292623941958888,0.7283300198807157
